英文,谷歌翻译,引用数量？
no panties,没有内裤,66463
thigh strap,大腿绑带,66443
mask,面具,66402
capelet,披肩,66285
gradient hair,渐变头发,66046
multiple views,多个视图,66006
witch hat,女巫帽,65903
copyright name,版权名称,65520
:3,:3,65286
anus,肛门,65143
alternate hairstyle,备用发型,65097
fruit,水果,65018
underboob,underboob,64917
arknights,方舟骑士,64431
detached collar,分离式衣领,64173
depth of field,景深,63851
headband,头带,63842
night,晚上,63537
sleeveless dress,无袖连衣裙,63474
buttons,按钮,63404
hair blowing,吹头发,63375
^ ^,^ ^,63335
cameltoe,骆驼趾,63116
copyright request,版权请求,62862
side-tie bikini bottom,侧系带比基尼泳裤,62460
blue dress,蓝色连衣裙,62423
fox tail,狐尾,62288
cum in pussy,暨 在 猫,62240
commission,佣金,62159
bottomless,无底,61779
toes,脚趾,61770
black bikini,黑色比基尼,61637
shadow,影子,61569
nose blush,鼻腮红,61416
glowing,发光,61371
red skirt,红裙子,60921
blurry background,模糊的背景,60868
rose,玫瑰,60714
feet out of frame,脚出框架,60503
hakurei reimu,博丽灵梦,60243
headgear,头饰,59789
holding hands,牵手,59730
bed sheet,床单,59661
fake animal ears,假动物耳朵,59603
swept bangs,扫刘海,59590
chain,链条,59553
facial hair,面部毛发,59371
6+girls,6+女孩,59289
siblings,兄弟姐妹,59157
turtleneck,高领毛衣,58998
bird,鸟,58948
headphones,耳机,58922
ocean,海洋,58865
colored skin,有色皮肤,58337
arm support,手臂支撑,57821
umbrella,雨伞,57600
heterochromia,异色症,57451
low twintails,低双马尾,57330
halter top,露背上衣,57289
animal,动物,57258
frown,皱眉,57025
beret,贝雷帽,56988
thigh boots,大腿靴,56543
leaf,叶,56348
embarrassed,尴尬,56127
pov,pov,55849
one side up,一面朝上,55727
back,返回,55550
kirisame marisa,雾雨魔理沙 55498,55498
on bed,在床上,55392
from above,从上面,55370
garter straps,吊袜带,55251
watermark,水印,55190
white headwear,白色头饰,55179
ass visible through thighs,屁股通过大腿可见,55126
fangs,獠牙,54947
blue background,蓝色背景,54522
non-web source,非网络来源,54429
transparent background,透明背景,54045
highleg,高腿,53992
white bikini,白色比基尼,53835
on side,在旁边,53819
plaid skirt,格子裙,53804
scar,疤痕,53803
mahou shoujo madoka magica,mahou shoujo madoka magica,53576
traditional media,传统媒体,53516
mouth hold,嘴巴,53479
wariza,瓦里萨,53449
parody,模仿,53372
beach,海滩,53281
chair,椅子,53119
wavy hair,卷发,52960
blue bow,蓝色蝴蝶结,52864
hair tubes,发管,52839
facial mark,面部标记,52739
bandages,绷带,52668
looking away,看着别处,52630
upper teeth,上牙,52615
banned artist,被禁止的艺术家,52523
female pubic hair,女性阴毛,52496
blush stickers,腮红贴,52383
drill hair,钻头,52114
shirt lift,衬衫升降机,52073
expressionless,面无表情,51941
chinese clothes,中式服装,51778
black choker,黑色项圈,51660
obi,带子,51415
grabbing,抓取,51301
brown footwear,棕色鞋类,51265
arms behind back,手臂在背后,51102
eating,吃饭,51025
pantyshot,pantyshot,50634
no shoes,没有鞋子,50575
clothes pull,衣服拉,50568
topless,裸照,50567
holding sword,持剑,50491
heart-shaped pupils,心形瞳孔,50359
thigh gap,大腿间隙,50310
thick thighs,大腿粗,50210
short dress,短裙,49854
soles,鞋底,49822
looking down,向下看,49698
fire emblem,火徽,49626
skirt lift,裙撑,49608
phone,电话,49572
magical girl,魔法少女49541,49541
eyepatch,眼罩,49445
stuffed toy,毛绒玩具,49145
floral print,花卉印花,49135
bound,绑定,49082
wavy mouth,波浪嘴,48870
crossed arms,双臂交叉,48735
flying sweatdrops,飞行的汗珠,48735
girls und panzer,女孩和装甲,48696
symbol-only commentary,仅符号评论,48685
love live!,爱生活！,48342
hair intakes,头发摄入量,48335
black shorts,黑色短裤,48229
border,边框,47983
playboy bunny,花花公子兔子,47981
moon,月亮,47961
formal,正式的,47928
piercing,刺穿,47876
abs,绝对,47603
cover,封面,47435
leg up,抬起腿,47385
sandals,凉鞋,47225
from below,从下面,47088
half-closed eyes,半闭眼,46959
cleavage cutout,乳沟切口,46944
sunlight,阳光,46896
erection,安装,46853
table,表,46792
single hair bun,单发髻,46753
black pants,黑色裤子,46570
oral,口头,46314
happy,快乐,46225
red dress,红色连衣裙,46215
cat,猫,45864
underwear only,仅内衣,45663
squatting,蹲着,45575
scrunchie,发圈,45426
pink background,粉红色背景,45380
school swimsuit,学校泳装,45255
sunglasses,太阳镜,45181
testicles,睾丸,44794
bdsm,性虐待,44705
cum on body,暨 上 body,44658
blazer,西装外套,44278
mob cap,暴民帽,44254
trembling,颤抖,44229
white footwear,白色鞋类,43972
dark-skinned male,深色皮肤的男性,43966
ring,戒指,43793
sleeping,睡觉,43667
game cg,游戏cg,43512
coyote ears,土狼耳朵,43418
backpack,背包,43071
standing on one leg,单腿站立,42954
lingerie,内衣,42912
knee boots,及膝靴,42856
eyes visible through hair,透过头发可见的眼睛,42816
hat ribbon,帽子丝带,42795
final fantasy,最终幻想,42764
halo,晕,42671
partial commentary,部分评论,42573
light brown hair,浅棕色头发,42522
breast grab,乳房抓斗,42513
katana,武士刀,42464
stuffed animal,毛绒玩具,42399
thick eyebrows,浓眉,42316
bob cut,鲍勃切,42315
girls' frontline,少女前线,42259
bat wings,蝙蝠翅膀,42233
cardigan,开衫,42169
;d,;d,42130
demon girl,恶魔少女,42126
korean commentary,韩国评论,42043
crossed legs,双腿交叉,41965
frilled dress,荷叶边连衣裙,41914
suspenders,吊带,41898
chinese commentary,中文评论,41882
white skirt,白色裙子,41774
remilia scarlet,remilia 猩红色,41745
3boys,3个男孩,41679
helmet,头盔,41554
white jacket,白色夹克,41329
antenna hair,天线毛,41238
hood down,引擎盖下来,41152
cloudy sky,多云的天空,41126
outstretched arms,伸出双臂,41102
cellphone,手机,40792
polka dot,圆点,40714
cross,交叉,40680
crying,哭泣,40666
tank top,背心,40630
bottle,瓶子,40473
bug,错误,40384
5girls,5个女孩,40374
undressing,脱衣服,40362
grass,草,40318
crossover,交叉,40269
fire,火,40058
bent over,弯腰,40036
crown,皇冠,40020
feathers,羽毛,39951
suit,西装,39879
tiara,头饰,39809
light smile,浅笑,39748
frilled skirt,荷叶边裙,39724
breasts out,乳房出来,39693
high ponytail,高马尾辫,39623
knife,刀,39574
pectorals,胸肌,39542
couple,夫妇,39482
eyebrows,眉毛,39325
looking up,抬头看,39322
denim,牛仔布,39219
holding food,拿着食物,39208
own hands together,自己动手,39206
animated,动画,39140
> <,> <,39016
straddling,跨骑,39016
hair bobbles,毛球,39015
x hair ornament,x 发饰,38970
wing collar,翼领,38875
white bow,白色蝴蝶结,38861
on stomach,在肚子上,38773
areolae,乳晕,38762
plant,厂,38524
black hairband,黑色发带,38455
flandre scarlet,弗兰德猩红色,38441
blue shirt,蓝色衬衫,38268
tan,棕褐色,38222
lipstick,口红,38221
outstretched arm,伸出的手臂,38166
bondage,束缚,37972
izayoi sakuya,izayoi sakuya,37912
short twintails,短双马尾,37875
fellatio,口交,37797
horse ears,马耳,37610
robot,机器人,37508
precure,预固化剂,37312
blue ribbon,蓝丝带,37293
girl on top,女孩在上面,37050
curtains,窗帘,37044
white flower,白花,36964
lifted by self,自行举起,36916
pointing,指点,36846
animal print,动物印花,36825
monster girl,怪物女孩,36706
polearm,长柄武器,36702
muscular male,肌肉男,36560
revision,修订,36455
^^^,^^^,36438
pink bow,粉色蝴蝶结,36406
slit pupils,狭缝瞳孔,36340
juliet sleeves,朱丽叶袖,36304
all fours,四肢着地,36207
sisters,姐妹,36163
sex from behind,从后面做爱,36162
cat girl,猫女孩,36135
crescent,新月,35913
spiked hair,尖刺的头发,35902
umamusume,umamusume,35858
granblue fantasy,碧蓝幻想,35818
staff,员工,35672
hand on own chest,手放在自己的胸前,35514
blue sailor collar,蓝色水手领,35448
panty pull,内裤拉,35430
cherry blossoms,樱花,35318
frilled sleeves,荷叶边袖子,35060
blouse,衬衫,35058
sharp teeth,锋利的牙齿,35017
red necktie,红色领带,34985
?,?,34965
jojo no kimyou na bouken,jojo no kimyou na bouken,34893
cover page,封面,34556
blue jacket,蓝色夹克,34533
white kneehighs,白色过膝袜,34530
towel,毛巾,34506
clenched teeth,咬紧牙关,34443
shaded face,阴影面,34440
wind,风,34360
goggles,护目镜,34277
casual,休闲,34253
bike shorts,自行车短裤,34243
otoko no ko,otoko no ko,34242
ground vehicle,地面车辆,34084
black background,黑色背景,34081
brooch,胸针,34056
head wings,头翼,34042
green skirt,绿裙子,34039
loafers,乐福鞋,33900
gauntlets,护手,33858
elf,精灵,33658
pink panties,粉色内裤,33658
no pants,没有裤子,33627
fate/stay night,命运/过夜,33474
t-shirt,t 恤,33474
red flower,红花,33318
black bra,黑色文胸,33218
striped panties,条纹内裤,33132
multiple tails,多尾,33042
building,建筑,32940
wristband,腕带,32893
shoulder armor,肩甲,32842
kiss,吻,32793
demon horns,恶魔之角,32782
fox girl,狐狸女孩,32711
between breasts,乳房之间,32633
breast press,乳房压力机,32607
startled,吃惊,32551
single thighhigh,单大腿高,32501
messy hair,凌乱的头发,32467
motion lines,运动线,32379
hat bow,帽子蝴蝶结,32288
sheath,护套,32130
butterfly,蝴蝶,32106
child,儿童,31959
kemono friends,kemono 朋友,31946
skirt set,裙子套装,31892
ribbon trim,丝带饰边,31696
black kneehighs,黑色过膝袜,31686
group sex,群交,31667
third eye,第三只眼,31551
character request,字符请求,31491
instrument,仪器,31468
rabbit tail,兔尾,31420
letterboxed,信箱,31376
drooling,流口水,31371
clenched hand,握紧的手,31316
hakama,袴,31316
box,盒子,31213
sneakers,运动鞋,31150
pale skin,苍白的皮肤,31149
sex toy,性玩具,31145
red shirt,红衬衫,31107
musical note,音符,31080
red footwear,红鞋,31068
admiral (kancolle),海军上将 (kancolle),31041
gem,宝石,30987
fishnets,渔网,30907
horse girl,马女孩,30889
tassel,流苏,30800
wet clothes,湿衣服,30771
side-tie panties,侧系内裤,30688
red bowtie,红色领结,30656
genderswap,性别交换,30654
revealing clothes,露出衣服,30634
covering,覆盖,30545
facial,面部,30460
foreshortening,透视,30411
candy,糖果,30400
idolmaster (classic),偶像大师（经典）,30351
nature,自然,30269
adapted costume,改编服装,30240
anal,肛门,30212
ear piercing,耳洞,30154
pink dress,粉色连衣裙,30103
steam,蒸汽,30085
star (sky),星星（天空）,30067
dog ears,狗耳朵,30060
peaked cap,顶帽,29880
demon tail,恶魔尾巴,29795
portrait,肖像,29650
armband,臂章,29602
duplicate,重复,29583
scenery,风景,29575
convenient censoring,方便审查,29525
waist apron,腰围裙,29502
holding gun,拿着枪,29370
artoria pendragon (fate),artoria pendragon (命运),29313
breath,呼吸,29295
lace trim,蕾丝饰边,29223
night sky,夜空,29166
ejaculation,射精,29151
china dress,中国服饰,29054
alice margatroid,爱丽丝 margatroid,29036
tokin hat,tokin 帽子,28891
kochiya sanae,kochiya早苗,28874
arms behind head,头后的手臂,28673
love live! school idol project,爱生活！学园偶像项目,28629
gundam,高达 28606,28606
patchouli knowledge,广藿香知识,28590
lace,蕾丝,28581
couch,沙发,28580
interlocked fingers,十指相扣,28579
veil,面纱,28527
black nails,黑指甲,28512
rope,绳子,28478
front-tie top,前领带顶部,28440
bara,巴拉,28426
microphone,麦克风,28340
bandaid,创可贴,28293
male pubic hair,男性阴毛,28289
hakama skirt,袴裙,28267
bow panties,蝴蝶结内裤,28248
hand fan,手扇,28221
blue archive,蓝色档案,28195
white apron,白色围裙,28089
mole under mouth,嘴下痣,28040
bridal gauntlets,新娘手套,28023
strapless dress,露肩连衣裙,28002
nijisanji,nijisanji,27952
no hat,没有帽子,27916
yaoi,yaoi,27904
mecha,机甲,27870
glowing eyes,发光的眼睛,27855
anger vein,怒脉,27789
holding cup,拿着杯子,27710
konpaku youmu,魔芋幽木,27692
clothes writing,衣服写作,27650
...,...,27548
bikini top only,仅比基尼上衣,27548
white ribbon,白丝带,27533
black leotard,黑色紧身衣,27471
jingle bell,铃儿响叮当,27464
cirno,圆形,27414
breasts apart,乳房分开,27352
baseball cap,棒球帽,27349
hair flaps,发瓣,27202
string bikini,细绳比基尼,27180
hair over shoulder,头发过肩,27179
cum on breasts,暨 上 乳房,27098
torn legwear,撕裂的裤袜,27078
twin drills,双钻,27054
straight hair,直发,27046
skin tight,皮肤紧,26995
:<,:<,26950
yellow background,黄色背景,26840
web address,网址,26801
semi-rimless eyewear,半无框眼镜,26773
angry,生气,26637
hooded jacket,连帽外套,26603
feathered wings,羽翼,26537
light purple hair,浅紫色头发,26496
check translation,检查翻译,26466
yakumo yukari,八云由加里,26435
motor vehicle,机动车辆,26340
christmas,圣诞节,26286
facing viewer,面对观众,26253
cloak,斗篷,26101
coyote tail,郊狼尾巴,26079
carrying,携带,26030
side braid,侧编织,25952
corset,紧身胸衣,25940
eyewear on head,头戴眼镜,25923
claws,爪子,25920
micro bikini,微比基尼,25895
light particles,光粒子,25860
red nails,红指甲,25847
mary janes,玛丽珍妮丝,25749
multiple penises,多个阴茎,25616
pelvic curtain,盆帘,25579
knees up,跪下,25541
red background,红色背景,25531
bad link,坏链接,25521
tareme,皮重,25509
red headwear,红色头饰,25490
tentacles,触手,25487
rifle,步枪,25429
index finger raised,食指抬起,25398
purple dress,紫色连衣裙,25303
:p,:p,25247
danganronpa (series),弹丸论巴（系列）,25231
smartphone,智能手机,25195
beard,胡须,25191
clothing aside,除了衣服,25164
vertical stripes,竖条纹,25106
single horn,单喇叭,24979
bright pupils,明亮的瞳孔,24952
paizuri,paizuri,24940
multicolored clothes,五彩衣服,24897
grey shirt,灰色衬衫,24890
strap slip,背带滑,24852
red neckerchief,红领巾,24801
finger to mouth,手指到嘴巴,24750
licking,舔,24709
close-up,特写镜头,24595
puffy nipples,浮肿的乳头,24570
short hair with long locks,长发短发,24495
striped thighhighs,条纹长筒袜,24494
extra ears,额外的耳朵,24457
snow,雪,24428
tsurime,鹤壁,24410
androgynous,雌雄同体,24280
buckle,扣,24276
black necktie,黑色领带,24257
scar on face,脸上的疤痕,24244
french braid,法式辫子,24242
striped legwear,条纹裤袜,24198
red jacket,红色夹克,24132
white border,白色边框,24126
full moon,满月,24117
neck bell,颈铃,24093
upskirt,超短裙,24043
eye contact,眼神交流,24014
face,脸,24002
komeiji koishi,komeiji 恋石,23981
two-tone background,双色调背景,23940
forehead,额头,23903
pom pom (clothes),绒球（衣服）,23859
seiza,癫痫发作,23794
areola slip,乳晕滑,23727
yellow bow,黄色蝴蝶结,23666
blue bikini,蓝色比基尼,23625
spoilers,剧透,23624
genderswap (mtf),性别交换（MTF）,23590
lens flare,镜头光晕,23585
pink flower,粉红色的花,23436
furry,毛茸茸的,23385
gift,礼物,23347
armlet,臂章,23185
shameimaru aya,羞丸绫,23086
pink nails,粉色指甲,23061
between legs,两腿之间,23055
spikes,尖峰,23052
pendant,吊坠,23043
abyssal ship,深海船,23040
wading,涉水,23031
hand on own face,手在自己的脸上,23005
side slit,侧开衩,22993
1other,1其他,22942
dual persona,双重人格,22931
handgun,手枪,22890
desk,办公桌,22846
camisole,吊带背心,22841
hololive english,hololive 英语,22766
masturbation,手淫,22662
alcohol,酒精,22552
brown gloves,棕色手套,22542
plate,盘子,22509
restrained,克制,22447
k-on!,k-on!,22410
green bow,绿色蝴蝶结,22382
ribbed sweater,罗纹毛衣,22335
cross-laced footwear,交叉系带鞋,22307
after sex,性爱后,22294
broom,扫帚,22293
handjob,打手枪,22274
faceless,不露面,22248
sleeves rolled up,袖子卷起,22202
o-ring,O形圈,22199
skin fang,皮芳,22180
curvy,弯曲的,22176
santa hat,圣诞帽,22151
spoken heart,说话的心,22108
heavy breathing,沉重的呼吸,22086
ball,球,22079
hair scrunchie,发箍,21996
maid apron,女仆围裙,21990
breast hold,抱胸,21957
drinking glass,水杯,21937
eyeshadow,眼影,21871
fujiwara no mokou,fujiwara no mokou,21848
horse tail,马尾,21784
grey skirt,灰色裙子,21746
personification,拟人化,21737
persona,角色,21708
headwear removed,头饰已移除,21705
low ponytail,低马尾辫,21659
reisen udongein inaba,reisen udongein inaba,21643
doujin cover,同人封面,21622
cowgirl position,女牛仔位置,21613
machinery,机械,21583
forest,森林,21579
dress lift,礼服电梯,21572
red gloves,红色手套,21564
clenched hands,握紧的手,21546
tray,托盘,21530
headset,耳机,21518
partially submerged,部分淹没,21371
tanlines,tanlines,21366
cropped legs,短腿,21333
jpeg artifacts,jpeg 工件,21332
zipper,拉链,21290
high heel boots,高跟鞋,21279
floating,浮动,21246
smoke,烟雾,21181
legs up,双腿向上,21136
backlighting,背光,21132
wide hips,宽臀,21100
pencil skirt,铅笔裙,21064
fish,鱼,21051
low-tied long hair,低扎长发,21024
blue headwear,蓝色头饰,21008
single glove,单只手套,21000
sweater vest,毛衣背心,21000
lyrical nanoha,抒情的纳米叶,20981
hong meiling,洪美玲,20977
large pectorals,大胸,20958
hair rings,发圈,20938
pink skirt,粉色裙子,20871
half updo,半髻,20844
neon genesis evangelion,新世纪福音战士,20843
reflection,反射,20841
flying,飞行,20835
highleg leotard,高腿紧身衣,20827
hood up,罩起来,20761
spot color,专色,20747
panties under pantyhose,连裤袜下的内裤,20745
nontraditional miko,非传统巫女,20727
kemonomimi mode,kemonomimi模式,20724
sailor dress,水手服,20684
arm behind back,手臂在背后,20650
freckles,雀斑,20650
starry sky,星空,20641
clothed sex,穿着衣服的性爱,20627
white bra,白色文胸,20617
akemi homura,明美小焰,20582
asymmetrical legwear,不对称裤腿,20565
holding book,拿着书,20435
happy birthday,生日快乐,20430
arm at side,侧臂,20414
tearing up,撕毁,20405
sleeves past fingers,袖子过指,20381
brown background,棕色背景,20380
colored sclera,彩色巩膜,20362
red bikini,红色比基尼,20358
long fingernails,长指甲,20321
!,!,20268
santa costume,圣诞老人服装,20263
garter belt,吊袜带,20241
strapless leotard,无肩带紧身衣,20240
6+boys,6+男孩,20218
dual wielding,双持,20199
cuffs,袖口,20153
hands,手,20133
red-framed eyewear,红框眼镜,20129
rain,雨,20126
